player_id,player_name,player_team,player_position,game_id,game_date,home_team,away_team,stat_type,target,split
2,Stephen Curry,GSW,,59,2025-09-18 03:30:00+00:00,GSW,OPP26,points,28.366758690558253,train
2,Stephen Curry,GSW,,58,2025-09-20 03:30:00+00:00,GSW,OPP25,points,29.158374435977816,train
2,Stephen Curry,GSW,,57,2025-09-22 03:30:00+00:00,GSW,OPP24,points,25.554887097687843,train
2,Stephen Curry,GSW,,56,2025-09-24 03:30:00+00:00,GSW,OPP23,points,31.334627027824645,train
2,Stephen Curry,GSW,,55,2025-09-26 03:30:00+00:00,GSW,OPP22,points,34.63670430931171,train
2,Stephen Curry,GSW,,54,2025-09-28 03:30:00+00:00,GSW,OPP21,points,32.43337020552949,train
2,Stephen Curry,GSW,,53,2025-09-30 03:30:00+00:00,GSW,OPP20,points,37.35516215646035,train
2,Stephen Curry,GSW,,52,2025-10-02 03:30:00+00:00,GSW,OPP19,points,33.631079672863066,train
2,Stephen Curry,GSW,,51,2025-10-04 03:30:00+00:00,GSW,OPP18,points,34.79324651518559,train
2,Stephen Curry,GSW,,50,2025-10-06 03:30:00+00:00,GSW,OPP17,points,22.781229304239698,train
2,Stephen Curry,GSW,,49,2025-10-08 03:30:00+00:00,GSW,OPP16,points,32.51956095459457,train
2,Stephen Curry,GSW,,48,2025-10-10 03:30:00+00:00,GSW,OPP15,points,26.26576476768047,train
2,Stephen Curry,GSW,,47,2025-10-12 03:30:00+00:00,GSW,OPP14,points,33.28590516118703,train
2,Stephen Curry,GSW,,46,2025-10-14 03:30:00+00:00,GSW,OPP13,points,34.334280040992056,train
2,Stephen Curry,GSW,,45,2025-10-16 03:30:00+00:00,GSW,OPP12,points,35.064909409715035,train
2,Stephen Curry,GSW,,44,2025-10-18 03:30:00+00:00,GSW,OPP11,points,30.377693697540412,train
2,Stephen Curry,GSW,,43,2025-10-20 03:30:00+00:00,GSW,OPP10,points,32.32686245750219,train
2,Stephen Curry,GSW,,42,2025-10-22 03:30:00+00:00,GSW,OPP9,points,33.04060394424428,val
2,Stephen Curry,GSW,,41,2025-10-24 03:30:00+00:00,GSW,OPP8,points,34.50608820137552,val
2,Stephen Curry,GSW,,40,2025-10-26 03:30:00+00:00,GSW,OPP7,points,28.602383442027232,val
2,Stephen Curry,GSW,,39,2025-10-28 03:30:00+00:00,GSW,OPP6,points,32.657944752203726,val
2,Stephen Curry,GSW,,38,2025-10-30 03:30:00+00:00,GSW,OPP5,points,32.442403057637215,test
2,Stephen Curry,GSW,,37,2025-11-01 03:30:00+00:00,GSW,OPP4,points,32.393723938125376,test
2,Stephen Curry,GSW,,36,2025-11-03 03:30:00+00:00,GSW,OPP3,points,36.34938776650935,test
2,Stephen Curry,GSW,,35,2025-11-05 03:30:00+00:00,GSW,OPP2,points,35.90663005125283,test
2,Stephen Curry,GSW,,34,2025-11-07 03:30:00+00:00,GSW,OPP1,points,27.787366113824962,test
