game_date,player,actual_value
2025-11-06 06:06:03.348740,Synth Player 1006,15.0
2025-11-08 06:06:03.348740,Synth Player 1006,14.0
2025-11-10 06:06:03.348740,Synth Player 1006,13.0
2025-11-12 06:06:03.348740,Synth Player 1006,12.0
2025-11-14 06:06:03.348740,Synth Player 1006,11.0
2025-10-27 06:06:03.348740,Synth Player 1007,21.0
2025-10-29 06:06:03.348740,Synth Player 1007,20.0
2025-10-31 06:06:03.348740,Synth Player 1007,19.0
2025-11-02 06:06:03.348740,Synth Player 1007,18.0
2025-11-04 06:06:03.348740,Synth Player 1007,17.0
2025-11-06 06:06:03.348740,Synth Player 1007,16.0
2025-11-08 06:06:03.348740,Synth Player 1007,15.0
2025-11-10 06:06:03.348740,Synth Player 1007,14.0
2025-11-12 06:06:03.348740,Synth Player 1007,13.0
2025-11-14 06:06:03.348740,Synth Player 1007,12.0
2025-10-27 06:06:03.348740,Synth Player 1008,22.0
2025-10-29 06:06:03.348740,Synth Player 1008,21.0
2025-10-31 06:06:03.348740,Synth Player 1008,20.0
2025-11-02 06:06:03.348740,Synth Player 1008,19.0
2025-11-04 06:06:03.348740,Synth Player 1008,18.0
2025-11-06 06:06:03.348740,Synth Player 1008,17.0
2025-11-08 06:06:03.348740,Synth Player 1008,16.0
2025-11-10 06:06:03.348740,Synth Player 1008,15.0
2025-11-12 06:06:03.348740,Synth Player 1008,14.0
2025-11-14 06:06:03.348740,Synth Player 1008,13.0
2025-10-27 06:06:03.348740,Synth Player 1009,23.0
2025-10-29 06:06:03.348740,Synth Player 1009,22.0
2025-10-31 06:06:03.348740,Synth Player 1009,21.0
2025-11-02 06:06:03.348740,Synth Player 1009,20.0
2025-11-04 06:06:03.348740,Synth Player 1009,19.0
2025-11-06 06:06:03.348740,Synth Player 1009,18.0
2025-11-08 06:06:03.348740,Synth Player 1009,17.0
2025-11-10 06:06:03.348740,Synth Player 1009,16.0
2025-11-12 06:06:03.348740,Synth Player 1009,15.0
2025-11-14 06:06:03.348740,Synth Player 1009,14.0
2025-10-27 06:06:03.348740,Synth Player 1010,19.0
2025-10-29 06:06:03.348740,Synth Player 1010,18.0
2025-10-31 06:06:03.348740,Synth Player 1010,17.0
2025-11-02 06:06:03.348740,Synth Player 1010,16.0
2025-11-04 06:06:03.348740,Synth Player 1010,15.0
2025-11-06 06:06:03.348740,Synth Player 1010,14.0
2025-11-08 06:06:03.348740,Synth Player 1010,13.0
2025-11-10 06:06:03.348740,Synth Player 1010,12.0
2025-11-12 06:06:03.348740,Synth Player 1010,11.0
2025-11-14 06:06:03.348740,Synth Player 1010,10.0
