player,status_a,model_path_a,mse_a,rmse_a,mae_a,r2_a,n_a,status_b,model_path_b,mse_b,rmse_b,mae_b,r2_b,n_b,delta_rmse,llm_cost_estimate,roi_rmse_per_dollar
Cason Wallace,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Chet Holmgren,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Chris Boucher,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Chris Livingston,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Chris Paul,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Christian Braun,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Christian Koloko,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Clint Capela,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Coby White,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Cody Williams,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Cole Anthony,ok,backend\models_store\Cole_Anthony_abA.pkl,12.044246432550311,3.470482161393473,2.73441884185788,0.5539167987944329,8.0,ok,backend\models_store\Cole_Anthony_abB.pkl,11.621538156603922,3.4090377170990527,2.69054384185788,0.5695726608665215,8.0,-0.0614444442944202,0.005,-12.28888885888404
Colin Castleton,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Collin Gillespie,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Collin Sexton,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Craig Porter Jr.,missing_model,,,,,,,missing_model,,,,,,,,0.005,
D'Angelo Russell,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Dalen Terry,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Dalton Knecht,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Damian Lillard,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Daniel Gafford,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Daniss Jenkins,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Danté Exum,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Dario Šarić,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Darius Garland,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Davion Mitchell,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Day'Ron Sharpe,missing_model,,,,,,,missing_model,,,,,,,,0.005,
De'Aaron Fox,missing_model,,,,,,,missing_model,,,,,,,,0.005,
De'Andre Hunter,missing_model,,,,,,,missing_model,,,,,,,,0.005,
DeAndre Jordan,missing_model,,,,,,,missing_model,,,,,,,,0.005,
DeMar DeRozan,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Dean Wade,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Deandre Ayton,ok,backend\models_store\Deandre_Ayton_abA.pkl,46.9965223171797,6.855400959621523,5.766587892896268,0.182274140445399,6.0,ok,backend\models_store\Deandre_Ayton_abB.pkl,45.87213111978417,6.772896804158777,5.6765878928962685,0.2018382212120685,6.0,-0.08250415546274592,0.005,-16.500831092549184
Dejounte Murray,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Deni Avdija,ok,backend\models_store\Deni_Avdija_abA.pkl,21.56574083049672,4.643892853037926,4.120996444805893,0.6144672030302262,8.0,ok,backend\models_store\Deni_Avdija_abB.pkl,19.94835519244254,4.466358157654012,3.9606839448058935,0.6433813596881781,8.0,-0.17753469538391364,0.005,-35.50693907678273
Dennis Schröder,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Dereck Lively II,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Derrick Jones Jr.,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Derrick White,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Desmond Bane,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Devin Booker,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Devin Carter,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Devin Vassell,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Dillon Brooks,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Domantas Sabonis,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Dominick Barlow,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Donovan Clingan,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Donovan Mitchell,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Donte DiVincenzo,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Dorian Finney-Smith,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Doug McDermott,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Draymond Green,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Drew Eubanks,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Drew Peterson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Dru Smith,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Duncan Robinson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Duop Reath,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Dwight Powell,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Dyson Daniels,missing_model,,,,,,,missing_model,,,,,,,,0.005,
E.J. Liddell,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Elijah Harkless,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Enrique Freeman,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Eric Gordon,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Evan Mobley,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Franz Wagner,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Fred VanVleet,missing_model,,,,,,,missing_model,,,,,,,,0.005,
GG Jackson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Gabe Vincent,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Garrett Temple,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Garrison Mathews,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Gary Harris,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Gary Payton II,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Gary Trent Jr.,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Georges Niang,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Giannis Antetokounmpo,ok,backend\models_store\Giannis_Antetokounmpo_abA.pkl,25.50512527405445,5.0502599214351775,4.0845291988502535,-0.3602733479495705,8.0,ok,backend\models_store\Giannis_Antetokounmpo_abB.pkl,25.12220887673537,5.012205989056652,4.043466698850253,-0.339851140092553,8.0,-0.03805393237852517,0.005,-7.610786475705034
Goga Bitadze,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Gradey Dick,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Grant Williams,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Grayson Allen,ok,backend\models_store\Grayson_Allen_abA.pkl,22.035254828847204,4.694172432798694,3.576520182926569,0.4123932045640746,8.0,ok,backend\models_store\Grayson_Allen_abB.pkl,21.138107735555923,4.5976197902345,3.5391643368971724,0.436317127051842,8.0,-0.09655264256419382,0.005,-19.310528512838765
Guerschon Yabusele,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Gui Santos,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Harrison Barnes,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Haywood Highsmith,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Herbert Jones,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Hunter Tyson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Immanuel Quickley,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Isaac Jones,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Isaac Okoro,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Isaiah Collier,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Isaiah Crawford,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Isaiah Hartenstein,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Isaiah Joe,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Isaiah Stewart,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Ivica Zubac,missing_model,,,,,,,missing_model,,,,,,,,0.005,
JD Davison,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Ja Morant,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Ja'Kobe Walter,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jabari Smith Jr.,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jabari Walker,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jacob Toppin,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jaden Hardy,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jaden Ivey,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jaden McDaniels,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jae'Sean Tate,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jaime Jaquez Jr.,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jake LaRavia,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jakob Poeltl,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jalen Brunson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jalen Duren,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jalen Green,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jalen Johnson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jalen Pickett,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jalen Smith,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jalen Suggs,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jalen Williams,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jalen Wilson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jamal Cain,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jamal Murray,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jamal Shead,missing_model,,,,,,,missing_model,,,,,,,,0.005,
James Harden,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jamison Battle,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jarace Walker,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jared McCain,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jaren Jackson Jr.,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jarred Vanderbilt,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jarrett Allen,ok,backend\models_store\Jarrett_Allen_abA.pkl,14.10261950396295,3.755345457339837,3.1800638766359963,0.7999184996112549,8.0,ok,backend\models_store\Jarrett_Allen_abB.pkl,14.391108666831052,3.793561475293508,3.202563876635997,0.7958255476219935,8.0,0.038216017953671244,0.005,7.643203590734249
Javonte Green,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jaxson Hayes,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jay Huff,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jaylen Brown,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jaylen Clark,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jaylen Wells,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jaylin Williams,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jaylon Tyson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jayson Tatum,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jeff Green,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jerami Grant,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jeremiah Robinson-Earl,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jeremy Sochan,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jericho Sims,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jett Howard,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jevon Carter,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jimmy Butler III,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jock Landale,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Joe Ingles,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Joel Embiid,missing_model,,,,,,,missing_model,,,,,,,,0.005,
John Collins,missing_model,,,,,,,missing_model,,,,,,,,0.005,
John Konchar,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Johnny Furphy,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Johnny Juzang,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jonas Valančiūnas,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jonathan Isaac,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jonathan Kuminga,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jonathan Mogbo,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jordan Clarkson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jordan Goodwin,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jordan Hawkins,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jordan McLaughlin,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jordan Miller,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jordan Poole,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jordan Walsh,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jose Alvarado,ok,backend\models_store\Jose_Alvarado_abA.pkl,79.60833049526536,8.922350054512846,7.74905983803964,-1.8833803914527356,8.0,ok,backend\models_store\Jose_Alvarado_abB.pkl,78.91345097654352,8.883324320126082,7.693372338039641,-1.8582121462924648,8.0,-0.03902573438676349,0.005,-7.805146877352698
Josh Giddey,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Josh Green,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Josh Hart,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Josh Minott,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Josh Okogie,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jrue Holiday,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Julian Champagnie,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Julian Phillips,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Julian Strawther,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Julius Randle,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Justin Edwards,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Jusuf Nurkić,missing_model,,,,,,,missing_model,,,,,,,,0.005,
KJ Simpson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Karl-Anthony Towns,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Karlo Matković,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Kawhi Leonard,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Keaton Wallace,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Keegan Murray,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Kel'el Ware,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Keldon Johnson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Kelly Olynyk,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Kelly Oubre Jr.,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Kenrich Williams,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Kentavious Caldwell-Pope,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Keon Ellis,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Keshad Johnson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Kevin Durant,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Kevin Huerter,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Kevin Love,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Kevin Porter Jr.,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Kevon Looney,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Keyonte George,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Klay Thompson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Kobe Brown,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Kris Dunn,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Kris Murray,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Kristaps Porziņģis,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Kyle Anderson,ok,backend\models_store\Kyle_Anderson_abA.pkl,11.525377885381676,3.39490469459478,3.017807414444928,0.3220365949775484,8.0,ok,backend\models_store\Kyle_Anderson_abB.pkl,11.400740958774833,3.376498327968612,2.977307414444928,0.3293681788955981,8.0,-0.01840636662616779,0.005,-3.6812733252335583
Kyle Filipowski,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Kyle Kuzma,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Kyle Lowry,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Kyrie Irving,missing_model,,,,,,,missing_model,,,,,,,,0.005,
LaMelo Ball,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Landry Shamet,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Larry Nance Jr.,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Lauri Markkanen,missing_model,,,,,,,missing_model,,,,,,,,0.005,
LeBron James,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Leonard Miller,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Lindy Waters III,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Lonzo Ball,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Luguentz Dort,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Luka Dončić,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Luka Garza,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Luke Kennard,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Luke Kornet,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Luke Travers,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Malik Monk,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Marcus Sasser,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Marcus Smart,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Mark Williams,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Mason Plumlee,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Matas Buzelis,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Matisse Thybulle,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Max Christie,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Max Strus,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Maxi Kleber,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Michael Porter Jr.,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Mikal Bridges,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Mike Conley,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Miles Bridges,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Miles McBride,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Mitchell Robinson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Monté Morris,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Moritz Wagner,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Moses Moody,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Mouhamed Gueye,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Moussa Diabaté,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Myles Turner,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Naji Marshall,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Naz Reid,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Neemias Queta,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Nic Claxton,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Nick Richards,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Nick Smith Jr.,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Nickeil Alexander-Walker,ok,backend\models_store\Nickeil_Alexander-Walker_abA.pkl,25.37569407832976,5.037429312489631,3.728555326519281,0.3221851331330949,8.0,ok,backend\models_store\Nickeil_Alexander-Walker_abB.pkl,25.117870993381963,5.011773238423897,3.7392428265192814,0.3290718933320343,8.0,-0.02565607406573367,0.005,-5.131214813146734
Nicolas Batum,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Nikola Jokić,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Nikola Jović,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Nikola Vučević,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Noah Clowney,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Norman Powell,missing_model,,,,,,,missing_model,,,,,,,,0.005,
OG Anunoby,ok,backend\models_store\OG_Anunoby_abA.pkl,75.84378935958121,8.708833983925816,7.7462357383884255,-0.7799789215303254,8.0,ok,backend\models_store\OG_Anunoby_abB.pkl,77.64938115413872,8.81188862583605,7.828360738388426,-0.8223543798551076,8.0,0.10305464191023361,0.005,20.610928382046723
Obi Toppin,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Ochai Agbaji,ok,backend\models_store\Ochai_Agbaji_abA.pkl,74.83328830073604,8.650623578721712,7.483159796380364,-1.1229301645598877,8.0,ok,backend\models_store\Ochai_Agbaji_abB.pkl,76.65040663068548,8.75502179498632,7.554034796380364,-1.174479620728666,8.0,0.10439821626460777,0.005,20.879643252921554
Olivier-Maxence Prosper,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Onyeka Okongwu,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Orlando Robinson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Oscar Tshiebwe,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Oso Ighodaro,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Ousmane Dieng,missing_model,,,,,,,missing_model,,,,,,,,0.005,
P.J. Washington,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Pacôme Dadiet,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Paolo Banchero,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Pascal Siakam,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Pat Connaughton,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Pat Spencer,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Patrick Williams,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Paul George,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Paul Reed,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Payton Pritchard,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Pelle Larsson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Pete Nance,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Peyton Watson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Precious Achiuwa,ok,backend\models_store\Precious_Achiuwa_abA.pkl,34.765072817818385,5.896191382394095,5.172038240705991,0.2974535332048068,8.0,ok,backend\models_store\Precious_Achiuwa_abB.pkl,34.114509837801286,5.8407627787645415,5.129850740705991,0.3106003695550103,8.0,-0.055428603629553486,0.005,-11.085720725910697
